event_id,timestamp,control_id,domain,system,parameter,baseline_value,current_value,drift_detected,severity,action,changed_by,change_source,approval_status,environment,maintenance_window
EVT-000394,2026-01-01T06:36:51Z,CTRL-SRV-006,Endpoint,Windows Server,windows_firewall,Enabled,Enabled,False,NONE,modification,admin_041,change_request,approved,staging,True
EVT-000152,2026-01-01T08:00:22Z,CTRL-NET-014,Network,Cisco Firewall,ssh_access,Restricted,Open,True,HIGH,modification,admin_050,change_request,pending,staging,False
EVT-000588,2026-01-01T10:11:06Z,CTRL-NET-004,Network,Cisco Firewall,port_443,Allow,Allow,False,NONE,modification,admin_022,change_request,approved,testing,True
EVT-000669,2026-01-01T11:38:21Z,CTRL-IAM-009,Identity,AWS IAM,access_key_rotation,90 days,90 days,False,NONE,modification,admin_011,change_request,approved,production,True
EVT-000131,2026-01-01T13:57:57Z,CTRL-CLD-002,Cloud,AWS S3,public_access,Disabled,Enabled,True,HIGH,modification,admin_035,change_request,approved,staging,False
EVT-000169,2026-01-01T15:13:11Z,CTRL-CLD-026,Cloud,AWS EC2,monitoring_enabled,Enabled,Disabled,True,MEDIUM,modification,admin_009,maintenance,approved,staging,False
EVT-000813,2026-01-01T17:51:57Z,CTRL-LOG-013,Cloud,AWS CloudTrail,kms_encryption,Enabled,Disabled,True,CRITICAL,rollback,admin_020,change_request,expired,production,False
EVT-000417,2026-01-01T21:32:25Z,CTRL-SRV-015,Endpoint,Windows Server,auto_updates,Enabled,Enabled,False,NONE,modification,admin_038,change_request,approved,development,True
EVT-000071,2026-01-02T12:37:36Z,CTRL-NET-016,Network,Cisco Firewall,ssh_access,Restricted,Open,True,HIGH,modification,admin_013,change_request,approved,testing,False
EVT-000968,2026-01-02T14:23:54Z,CTRL-NET-010,Network,Cisco Firewall,firewall_logging,Enabled,Enabled,False,NONE,modification,admin_003,maintenance,approved,staging,True
EVT-000748,2026-01-02T14:53:23Z,CTRL-IAM-020,Identity,Microsoft Entra ID,conditional_access,Enabled,Enabled,False,NONE,modification,admin_017,change_request,expired,testing,False
EVT-000033,2026-01-02T15:26:08Z,CTRL-SRV-002,Endpoint,Windows Server,bitlocker,Enabled,Disabled,True,CRITICAL,modification,admin_014,manual,pending,staging,False
EVT-000354,2026-01-02T15:40:38Z,CTRL-LOG-028,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_049,maintenance,approved,testing,True
EVT-000230,2026-01-02T15:51:36Z,CTRL-NET-021,Network,Palo Alto Firewall,url_filtering,Enabled,Disabled,True,MEDIUM,modification,admin_034,change_request,approved,production,True
EVT-000619,2026-01-02T16:50:59Z,CTRL-CLD-022,Cloud,AWS EC2,instance_metadata_v2,Required,Required,False,NONE,modification,admin_031,maintenance,approved,staging,True
EVT-000762,2026-01-02T20:41:28Z,CTRL-CLD-017,Cloud,AWS EC2,ebs_encryption,AES256,AES256,False,NONE,rollback,admin_007,manual,pending,production,True
EVT-000064,2026-01-02T22:27:11Z,CTRL-NET-005,Network,Cisco Firewall,port_8080,Deny,Allow,True,HIGH,modification,admin_017,change_request,approved,production,False
EVT-000399,2026-01-03T05:16:28Z,CTRL-IAM-024,Identity,Microsoft Entra ID,mfa_enabled,Required,Required,False,NONE,modification,admin_013,change_request,approved,testing,True
EVT-000753,2026-01-03T14:17:05Z,CTRL-NET-015,Network,Cisco Firewall,ssh_access,Restricted,Restricted,False,NONE,rollback,admin_038,manual,expired,development,False
EVT-000683,2026-01-03T15:32:46Z,CTRL-CLD-027,Cloud,AWS EC2,monitoring_enabled,Enabled,Enabled,False,NONE,modification,admin_017,change_request,approved,development,True
EVT-000591,2026-01-03T21:49:54Z,CTRL-SRV-015,Endpoint,Windows Server,auto_updates,Enabled,Enabled,False,NONE,modification,admin_007,change_request,approved,development,True
EVT-000467,2026-01-04T09:32:03Z,CTRL-NET-014,Network,Cisco Firewall,ssh_access,Restricted,Restricted,False,NONE,modification,admin_001,change_request,approved,staging,True
EVT-000510,2026-01-04T10:58:26Z,CTRL-LOG-018,Cloud,Azure Monitor,diagnostic_logging,Enabled,Enabled,False,NONE,modification,admin_032,maintenance,approved,staging,True
EVT-000279,2026-01-04T11:13:59Z,CTRL-SRV-016,Endpoint,Windows Server,auto_updates,Enabled,Disabled,True,MEDIUM,modification,admin_023,maintenance,approved,testing,False
EVT-000681,2026-01-04T11:50:42Z,CTRL-NET-022,Network,Palo Alto Firewall,url_filtering,Enabled,Enabled,False,NONE,modification,admin_010,change_request,approved,staging,True
EVT-000345,2026-01-04T12:14:29Z,CTRL-CLD-017,Cloud,AWS EC2,ebs_encryption,AES256,AES256,False,NONE,modification,admin_030,change_request,approved,production,True
EVT-000116,2026-01-04T15:43:42Z,CTRL-SRV-023,Endpoint,Linux Server,selinux,Enforcing,Permissive,True,HIGH,modification,admin_031,manual,pending,development,False
EVT-000255,2026-01-04T16:35:12Z,CTRL-SRV-031,Endpoint,Linux Server,auto_updates,Enabled,Disabled,True,MEDIUM,modification,admin_036,change_request,approved,development,True
EVT-000477,2026-01-05T06:12:28Z,CTRL-LOG-002,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Enabled,False,NONE,modification,admin_006,change_request,approved,staging,True
EVT-000965,2026-01-05T08:14:05Z,CTRL-CLD-016,Cloud,AWS S3,access_logging,Enabled,Enabled,False,NONE,modification,admin_008,maintenance,approved,testing,False
EVT-000728,2026-01-05T08:18:04Z,CTRL-SRV-001,Endpoint,Windows Server,bitlocker,Enabled,Enabled,False,NONE,modification,admin_010,change_request,approved,production,True
EVT-000471,2026-01-05T11:55:29Z,CTRL-LOG-018,Cloud,Azure Monitor,diagnostic_logging,Enabled,Enabled,False,NONE,modification,admin_022,maintenance,approved,staging,True
EVT-000867,2026-01-05T12:10:04Z,CTRL-LOG-022,Cloud,Azure Monitor,metrics_collection,Enabled,Enabled,False,NONE,modification,admin_024,emergency,approved,staging,True
EVT-000402,2026-01-05T13:55:21Z,CTRL-LOG-026,Cloud,Azure Monitor,retention_days,365 days,365 days,False,NONE,modification,admin_039,change_request,approved,staging,True
EVT-000035,2026-01-05T15:02:24Z,CTRL-LOG-001,Cloud,AWS CloudTrail,cloudtrail_enabled,Enabled,Disabled,True,CRITICAL,modification,admin_050,emergency,emergency,production,False
EVT-000459,2026-01-05T15:05:02Z,CTRL-LOG-014,Cloud,AWS CloudTrail,kms_encryption,Enabled,Enabled,False,NONE,modification,admin_007,change_request,approved,staging,True
EVT-000865,2026-01-05T18:17:33Z,CTRL-CLD-028,Cloud,AWS EC2,monitoring_enabled,Enabled,Enabled,False,NONE,modification,admin_008,emergency,approved,testing,True
EVT-000666,2026-01-05T18:22:34Z,CTRL-CLD-019,Cloud,AWS EC2,ebs_encryption,AES256,AES256,False,NONE,modification,admin_043,maintenance,approved,development,True
EVT-000615,2026-01-06T15:21:08Z,CTRL-IAM-002,Identity,AWS IAM,mfa_enabled,Required,Required,False,NONE,modification,admin_039,maintenance,approved,staging,True
